ticket_id,title,status,priority,assigned_to,created_on
1,Email server down,Open,High,Alice,2025-12-01
2,Printer not working,Resolved,Medium,Bob,2025-12-02
3,Network outage,Open,Critical,Charlie,2025-12-03
4,VPN not connecting,Open,High,Alice,2025-12-04
5,Software update failed,Resolved,Medium,Bob,2025-12-05
6,Laptop slow,Open,Low,Charlie,2025-12-06
7,Access denied to shared folder,Resolved,High,Alice,2025-12-07
8,Server backup failed,Open,Critical,Bob,2025-12-08
9,Email spam issues,Open,Medium,Charlie,2025-12-09
10,Printer jammed,Resolved,Low,Alice,2025-12-10
11,WiFi intermittent,Open,High,Bob,2025-12-11
12,Database connection error,Open,Critical,Charlie,2025-12-12
13,Email attachment blocked,Resolved,Medium,Alice,2025-12-13
14,VPN timeout,Open,High,Bob,2025-12-14
15,Software crash,Open,Medium,Charlie,2025-12-15
16,Password reset needed,Resolved,Low,Alice,2025-12-16
17,Computer not booting,Open,Critical,Bob,2025-12-17
18,Network slow,Open,High,Charlie,2025-12-18
19,Account locked out,Resolved,Medium,Alice,2025-12-19
20,Unable to print,Open,Low,Bob,2025-12-20
21,Meeting app not working,Open,Medium,Charlie,2025-12-21
22,Server overheating,Open,Critical,Alice,2025-12-22
23,Email sync issues,Resolved,Medium,Bob,2025-12-23
24,Keyboard not responding,Open,Low,Charlie,2025-12-24
25,File corruption detected,Open,High,Alice,2025-12-25
26,WiFi authentication failed,Resolved,Medium,Bob,2025-12-26
27,System freezing randomly,Open,High,Charlie,2025-12-27
28,Security software alert,Open,Critical,Alice,2025-12-28
29,Application not opening,Resolved,Low,Bob,2025-12-29
30,Mouse not working,Open,Low,Charlie,2025-12-30
31,Access request pending,Open,Medium,Alice,2025-12-31
32,Projector not working,Resolved,Low,Bob,2026-01-01
33,VoIP call issues,Open,Medium,Charlie,2026-01-02
34,Hard drive failure,Open,Critical,Alice,2026-01-03
35,Server memory full,Open,High,Bob,2026-01-04
36,USB port not working,Resolved,Low,Charlie,2026-01-05
37,Antivirus out of date,Open,Medium,Alice,2026-01-06
38,Firewall blocked application,Open,High,Bob,2026-01-07
39,Screen flickering,Resolved,Medium,Charlie,2026-01-08
40,Email delivery delay,Open,Low,Alice,2026-01-09
41,Mobile device not syncing,Open,Medium,Bob,2026-01-10
42,Software license expired,Open,High,Charlie,2026-01-11
43,Blue screen error,Open,Critical,Alice,2026-01-12
44,Unable to connect to server,Resolved,High,Bob,2026-01-13
45,Audio not working,Open,Low,Charlie,2026-01-14
46,Camera not detected,Open,Medium,Alice,2026-01-15
47,Shared drive missing,Resolved,High,Bob,2026-01-16
48,RAM usage too high,Open,Medium,Charlie,2026-01-17
49,PC overheating,Open,High,Alice,2026-01-18
50,Password policy error,Resolved,Low,Bob,2026-01-19
51,Cannot access VPN,Open,High,Charlie,2026-01-20
52,Unresponsive application,Open,Medium,Alice,2026-01-21
53,Power outage in server room,Resolved,Critical,Bob,2026-01-22
54,System update pending,Open,Low,Charlie,2026-01-23
55,Cloud storage full,Open,High,Alice,2026-01-24
56,Video conferencing lag,Resolved,Medium,Bob,2026-01-25
57,Disk read error,Open,Critical,Charlie,2026-01-26
58,Corrupted user profile,Open,High,Alice,2026-01-27
59,App installation blocked,Resolved,Medium,Bob,2026-01-28
60,Monitor not turning on,Open,Low,Charlie,2026-01-29
61,Authentication server down,Open,Critical,Alice,2026-01-30
62,Desktop icons missing,Resolved,Low,Bob,2026-01-31
63,Slow domain login,Open,Medium,Charlie,2026-02-01
